source,event_id,eventDivisionId,sex,round_name,round_order,heat_id,heat_order,total_winners_progressing,winners_progressing_to_round_order,total_losers_progressing,losers_progressing_to_round_order,Total_Round_Heats,Max_Heats,actual_heat_order,y_pos
Live Heats,72449,168178,Men,Final,0,1524498,0,8.0,9.0,,,1,1,1,1.0
Live Heats,72449,168179,Women,Final,0,1524531,0,8.0,9.0,,,1,1,1,1.0
Live Heats,72449,168181,Masters,Final,0,1524533,0,8.0,9.0,,,1,1,1,1.0
Live Heats,72450,168184,Men,Final,0,2011758,0,0.0,1.0,,,1,1,1,1.0
Live Heats,72450,168185,Women,Final,0,2011791,0,0.0,1.0,,,1,1,1,1.0
Live Heats,72452,168196,Men,Round 1,0,1720244,0,,,,,8,8,1,1.0
Live Heats,72452,168196,Men,Quarter Finals,1,1720252,0,,,,,4,8,1,3.0
Live Heats,72452,168196,Men,Semi finals,2,1720256,0,,,,,2,8,1,4.0
Live Heats,72452,168196,Men,Finals,3,1720258,0,,5.0,,4.0,1,8,1,4.5
Live Heats,72452,168196,Men,Round 1,0,1720245,1,,,,,8,8,2,2.0
Live Heats,72452,168196,Men,Quarter Finals,1,1720253,1,,,,,4,8,2,4.0
Live Heats,72452,168196,Men,Semi finals,2,1720257,1,,,,,2,8,2,5.0
Live Heats,72452,168196,Men,Round 1,0,1720246,2,,,,,8,8,3,3.0
Live Heats,72452,168196,Men,Quarter Finals,1,1720254,2,,,,,4,8,3,5.0
Live Heats,72452,168196,Men,Round 1,0,1720247,3,,,,,8,8,4,4.0
Live Heats,72452,168196,Men,Quarter Finals,1,1720255,3,,,,,4,8,4,6.0
Live Heats,72452,168196,Men,Round 1,0,1720248,4,,,,,8,8,5,5.0
Live Heats,72452,168196,Men,Round 1,0,1720249,5,,,,,8,8,6,6.0
Live Heats,72452,168196,Men,Round 1,0,1720250,6,,,,,8,8,7,7.0
Live Heats,72452,168196,Men,Round 1,0,1720251,7,,,,,8,8,8,8.0
Live Heats,72453,168199,Men,Final,0,1650527,0,0.0,1.0,,,1,1,1,1.0
Live Heats,72454,168205,Men,Round 1,0,1822184,0,2.0,2.0,2.0,1.0,6,6,1,1.0
Live Heats,72454,168205,Men,Round 2,1,1822190,0,1.0,2.0,,,4,6,1,2.0
Live Heats,72454,168205,Men,Quarterfinal,2,1822194,0,2.0,3.0,,,4,6,1,2.0
Live Heats,72454,168205,Men,Semifinal,3,1822198,0,,,,,2,6,1,3.0
Live Heats,72454,168205,Men,Final,4,1822200,0,0.0,1.0,,,1,6,1,3.5
Live Heats,72454,168205,Men,Round 1,0,1822185,1,2.0,2.0,2.0,1.0,6,6,2,2.0
Live Heats,72454,168205,Men,Round 2,1,1822191,1,1.0,2.0,,,4,6,2,3.0
Live Heats,72454,168205,Men,Quarterfinal,2,1822195,1,2.0,3.0,,,4,6,2,3.0
Live Heats,72454,168205,Men,Semifinal,3,1822199,1,,,,,2,6,2,4.0
Live Heats,72454,168205,Men,Round 1,0,1822186,2,2.0,2.0,2.0,1.0,6,6,3,3.0
Live Heats,72454,168205,Men,Round 2,1,1822192,2,1.0,2.0,,,4,6,3,4.0
Live Heats,72454,168205,Men,Quarterfinal,2,1822196,2,2.0,3.0,,,4,6,3,4.0
Live Heats,72454,168205,Men,Round 1,0,1822187,3,2.0,2.0,2.0,1.0,6,6,4,4.0
Live Heats,72454,168205,Men,Round 2,1,1822193,3,1.0,2.0,,,4,6,4,5.0
Live Heats,72454,168205,Men,Quarterfinal,2,1822197,3,2.0,3.0,,,4,6,4,5.0
Live Heats,72454,168205,Men,Round 1,0,1822188,4,2.0,2.0,2.0,1.0,6,6,5,5.0
Live Heats,72454,168205,Men,Round 1,0,1822189,5,2.0,2.0,2.0,1.0,6,6,6,6.0
Live Heats,72454,168206,Women,Round 1,0,1820864,0,2.0,2.0,2.0,1.0,3,3,1,1.0
Live Heats,72454,168206,Women,Quarterfinal,1,1820867,0,2.0,3.0,,,1,3,1,2.0
Live Heats,72454,168206,Women,Semifinal,2,1820869,0,2.0,3.0,,,2,3,1,1.5
Live Heats,72454,168206,Women,Final,3,1820870,0,0.0,1.0,,,1,3,1,2.0
Live Heats,72454,168206,Women,Round 1,0,1820865,1,2.0,2.0,2.0,1.0,3,3,2,2.0
Live Heats,72454,168206,Women,Semifinal,2,1820871,1,2.0,3.0,,,2,3,2,2.5
Live Heats,72454,168206,Women,Round 1,0,1820866,2,2.0,2.0,2.0,1.0,3,3,3,3.0
Live Heats,72454,168208,Masters,Round 1,0,1820872,0,2.0,2.0,3.0,1.0,2,2,1,1.0
Live Heats,72454,168208,Masters,Quarterfinal,1,1820875,0,2.0,3.0,,,1,2,1,1.5
Live Heats,72454,168208,Masters,Semifinal,2,1820877,0,,,,,2,2,1,1.0
Live Heats,72454,168208,Masters,Final,3,1820878,0,0.0,1.0,,,1,2,1,1.5
Live Heats,72454,168208,Masters,Round 1,0,1820873,1,2.0,2.0,3.0,1.0,2,2,2,2.0
Live Heats,72454,168208,Masters,Semifinal,2,1820879,1,,,,,2,2,2,2.0
Live Heats,72454,168210,Open AM,Round 1,0,1822623,0,2.0,2.0,3.0,1.0,3,3,1,1.0
Live Heats,72454,168210,Open AM,Quarterfinal,1,1822626,0,1.0,2.0,,,2,3,1,1.5
Live Heats,72454,168210,Open AM,Semifinal,2,1822628,0,2.0,3.0,,,2,3,1,1.5
Live Heats,72454,168210,Open AM,Final,3,1822630,0,0.0,1.0,,,1,3,1,2.0
Live Heats,72454,168210,Open AM,Round 1,0,1822624,1,2.0,2.0,3.0,1.0,3,3,2,2.0
Live Heats,72454,168210,Open AM,Quarterfinal,1,1822627,1,1.0,2.0,,,2,3,2,2.5
Live Heats,72454,168210,Open AM,Semifinal,2,1822629,1,2.0,3.0,,,2,3,2,2.5
Live Heats,72454,168210,Open AM,Round 1,0,1822625,2,2.0,2.0,3.0,1.0,3,3,3,3.0
Live Heats,72455,168211,Men,Round 1,0,1884759,0,,,,,8,8,1,1.0
Live Heats,72455,168211,Men,Quarterfinal,1,1885048,0,,,,,4,8,1,3.0
Live Heats,72455,168211,Men,Semifinal,2,1885054,0,,,,,2,8,1,4.0
Live Heats,72455,168211,Men,Final,3,1885056,0,,,,,1,8,1,4.5
Live Heats,72455,168211,Men,Round 1,0,1884760,1,,,,,8,8,2,2.0
Live Heats,72455,168211,Men,Quarterfinal,1,1885051,1,,,,,4,8,2,4.0
Live Heats,72455,168211,Men,Semifinal,2,1885055,1,,,,,2,8,2,5.0
Live Heats,72455,168211,Men,Round 1,0,1884761,2,,,,,8,8,3,3.0
Live Heats,72455,168211,Men,Quarterfinal,1,1885052,2,,,,,4,8,3,5.0
Live Heats,72455,168211,Men,Round 1,0,1884762,3,,,,,8,8,4,4.0
Live Heats,72455,168211,Men,Quarterfinal,1,1885053,3,,,,,4,8,4,6.0
Live Heats,72455,168211,Men,Round 1,0,1884763,4,,,,,8,8,5,5.0
Live Heats,72455,168211,Men,Round 1,0,1884764,5,,,,,8,8,6,6.0
Live Heats,72455,168211,Men,Round 1,0,1884797,6,,,,,8,8,7,7.0
Live Heats,72455,168211,Men,Round 1,0,1884798,7,,,,,8,8,8,8.0
Live Heats,72455,168213,Junior Boys,Quarterfinal,0,1888118,0,4.0,5.0,,,1,1,1,1.0
Live Heats,72455,168214,Masters,Round 1,0,1886079,0,,2.0,,1.0,4,4,1,1.0
Live Heats,72455,168214,Masters,Round 2,1,1886080,0,,,,,2,4,1,2.0
Live Heats,72455,168214,Masters,Quarterfinal,2,1886083,0,,,,,4,4,1,1.0
Live Heats,72455,168214,Masters,Semifinal,3,1886087,0,,,,,2,4,1,2.0
Live Heats,72455,168214,Masters,Final,4,1886088,0,,,,,1,4,1,2.5
Live Heats,72455,168214,Masters,Round 1,0,1886082,1,,2.0,,1.0,4,4,2,2.0
Live Heats,72455,168214,Masters,Round 2,1,1886093,1,,,,,2,4,2,3.0
Live Heats,72455,168214,Masters,Quarterfinal,2,1886090,1,,,,,4,4,2,2.0
Live Heats,72455,168214,Masters,Semifinal,3,1886089,1,,,,,2,4,2,3.0
Live Heats,72455,168214,Masters,Round 1,0,1886084,2,,2.0,,1.0,4,4,3,3.0
Live Heats,72455,168214,Masters,Quarterfinal,2,1886091,2,,,,,4,4,3,3.0
Live Heats,72455,168214,Masters,Round 1,0,1886085,3,,2.0,,1.0,4,4,4,4.0
Live Heats,72455,168214,Masters,Quarterfinal,2,1886092,3,,,,,4,4,4,4.0
Live Heats,72485,168233,Men,Final,0,1654815,0,8.0,9.0,,,1,1,1,1.0
Live Heats,72485,168234,Women,Final,0,1654848,0,8.0,9.0,,,1,1,1,1.0
Live Heats,72485,168235,Junior Boys,Final,0,1654849,0,8.0,9.0,,,1,1,1,1.0
Live Heats,72487,168245,Men,Final,0,1764683,0,0.0,1.0,,,1,1,1,1.0
Live Heats,72488,168251,Men,Final,0,1670655,0,8.0,9.0,,,1,1,1,1.0
Live Heats,72488,168252,Women,Final,0,1670721,0,8.0,9.0,,,1,1,1,1.0
Live Heats,72488,168253,Junior Boys,Final,0,1670688,0,8.0,9.0,,,1,1,1,1.0
Live Heats,72488,168254,Masters,Final,0,1524532,0,0.0,1.0,,,1,1,1,1.0
Live Heats,72489,168257,Men,Final,0,1654254,0,8.0,9.0,,,1,1,1,1.0
Live Heats,72489,168258,Women,Final,0,1654287,0,8.0,9.0,,,1,1,1,1.0
Live Heats,72489,168259,Junior Boys,Final,0,1654288,0,8.0,9.0,,,1,1,1,1.0
Live Heats,72489,168260,Masters,Final,0,1654289,0,8.0,9.0,,,1,1,1,1.0
Live Heats,74528,172447,Men,Final,0,1654683,0,8.0,9.0,,,1,1,1,1.0
Live Heats,74528,172450,Masters,Final,0,1674879,0,8.0,9.0,,,1,1,1,1.0
Live Heats,74594,172501,Men,Final,0,2007420,0,0.0,1.0,,,1,1,1,1.0
Live Heats,74594,172502,Women,Final,0,2007422,0,0.0,1.0,,,1,1,1,1.0
Live Heats,74628,172513,Men,Final,0,1654716,0,8.0,9.0,,,1,1,1,1.0
Live Heats,74628,172514,Women,Final,0,1654782,0,8.0,9.0,,,1,1,1,1.0
Live Heats,74628,172516,Masters,Final,0,1654749,0,8.0,9.0,,,1,1,1,1.0
Live Heats,74629,172519,Men,Final,0,1654320,0,8.0,9.0,,,1,1,1,1.0
Live Heats,74629,172520,Women,Final,0,1654353,0,8.0,9.0,,,1,1,1,1.0
Live Heats,74629,172521,Junior Boys,Final,0,1654386,0,8.0,9.0,,,1,1,1,1.0
Live Heats,74629,172522,Masters,Final,0,1659347,0,8.0,9.0,,,1,1,1,1.0
Live Heats,81623,186196,Junior Boys,Final,0,1772131,0,8.0,9.0,,,1,1,1,1.0
Live Heats,117330,247047,Men,Final,0,1653561,0,8.0,9.0,,,1,1,1,1.0
Live Heats,117330,247049,Junior Boys,Final,0,1653958,0,8.0,9.0,,,1,1,1,1.0
Live Heats,117330,247050,Masters,Final,0,1653957,0,8.0,9.0,,,1,1,1,1.0
Live Heats,117331,247055,Junior Boys,Final,0,1883664,0,0.0,1.0,,,1,1,1,1.0
Live Heats,117331,247056,Masters,Final,0,1764509,0,0.0,1.0,,,1,1,1,1.0
Live Heats,117333,247060,Men,Final,0,1862732,0,0.0,1.0,,,1,1,1,1.0
Live Heats,117333,247061,Women,Final,0,1864543,0,0.0,1.0,,,1,1,1,1.0
Live Heats,117362,247081,Men,Semifinal,0,1650624,0,8.0,9.0,,,1,1,1,1.0
Live Heats,117362,247082,Women,Final,0,1650591,0,8.0,9.0,,,1,1,1,1.0
Live Heats,118319,248203,Women,Final,0,1653960,0,8.0,9.0,,,1,1,1,1.0
Live Heats,81623,248336,U17 Boys,Final,0,1772132,0,8.0,9.0,,,1,1,1,1.0
Live Heats,81623,248337,U15 Boys,Final,0,1772133,0,8.0,9.0,,,1,1,1,1.0
Live Heats,81623,248338,U13,Final,0,1654188,0,8.0,9.0,,,1,1,1,1.0
Live Heats,81623,248339,Junior Girls,Final,0,1772130,0,8.0,9.0,,,1,1,1,1.0
Live Heats,81623,248340,U15 Girls,Final,0,1772134,0,8.0,9.0,,,1,1,1,1.0
Live Heats,118385,248368,Masters,Final,0,1654224,0,8.0,9.0,,,1,1,1,1.0
Live Heats,118385,248369,Junior Boys,Final,0,1654221,0,8.0,9.0,,,1,1,1,1.0
Live Heats,118715,248731,Women,Final,0,1655145,0,8.0,9.0,,,1,1,1,1.0
Live Heats,118715,248732,Junior Boys,Final,0,1670589,0,8.0,9.0,,,1,1,1,1.0
Live Heats,118715,248733,Masters,Final,0,1670556,0,8.0,9.0,,,1,1,1,1.0
Live Heats,118715,253879,U15 Girls,Final,0,1670622,0,8.0,9.0,,,1,1,1,1.0
Live Heats,118715,253880,U15 Boys,Final,0,1670623,0,8.0,9.0,,,1,1,1,1.0
Live Heats,117331,290080,Junior Girls,Final,0,1764541,0,0.0,1.0,,,1,1,1,1.0
Live Heats,147528,290163,Junior Boys,Final,0,1875618,0,0.0,1.0,,,1,1,1,1.0
Live Heats,147528,290164,Junior Girls,Final,0,1877806,0,0.0,1.0,,,1,1,1,1.0
Live Heats,147529,290168,Men,Final,0,2011848,0,0.0,1.0,,,1,1,1,1.0
Live Heats,147529,290169,Women,Final,0,2011891,0,0.0,1.0,,,1,1,1,1.0
Live Heats,147529,290171,Masters,Final,0,2011904,0,0.0,1.0,,,1,1,1,1.0
Live Heats,147591,290217,Men,Round 1,0,1902810,0,,2.0,,1.0,3,3,1,1.0
Live Heats,147591,290217,Men,Round 2,1,1902813,0,2.0,3.0,,,1,3,1,2.0
Live Heats,147591,290217,Men,Round 3,2,1902815,0,,,,,2,3,1,1.5
Live Heats,147591,290217,Men,Round 4,3,1902817,0,1.0,10.0,1.0,9.0,1,3,1,2.0
Live Heats,147591,290217,Men,Round 5,4,1904988,0,2.0,3.0,,,1,3,1,2.0
Live Heats,147591,290217,Men,Round 6,5,1904989,0,,,,,1,3,1,2.0
Live Heats,147591,290217,Men,Round 7,6,1904990,0,,,,,1,3,1,2.0
Live Heats,147591,290217,Men,Round 8,7,1904991,0,2.0,3.0,,,1,3,1,2.0
Live Heats,147591,290217,Men,Round 9,8,1904992,0,2.0,3.0,,,1,3,1,2.0
Live Heats,147591,290217,Men,Round 10,9,1904993,0,1.0,2.0,,,1,3,1,2.0
Live Heats,147591,290217,Men,Quarterfinal,10,1904994,0,1.0,2.0,,,1,3,1,2.0
Live Heats,147591,290217,Men,Semifinal,11,1909380,0,,,,,1,3,1,2.0
Live Heats,147591,290217,Men,Final,12,1909381,0,2.0,3.0,,,2,3,1,1.5
Live Heats,147591,290217,Men,Final,13,1909384,0,,,,,2,3,1,1.5
Live Heats,147591,290217,Men,Round 1,0,1902811,1,,2.0,,1.0,3,3,2,2.0
Live Heats,147591,290217,Men,Round 3,2,1902816,1,,,,,2,3,2,2.5
Live Heats,147591,290217,Men,Round 1,0,1902812,2,,2.0,,1.0,3,3,3,3.0
Live Heats,147591,290218,Women,Round 1,0,1902069,0,2.0,3.0,,,1,2,1,1.5
Live Heats,147591,290218,Women,Quarterfinal ,1,1902070,0,1.0,2.0,,,1,2,1,1.5
Live Heats,147591,290218,Women,Semifinal,2,1902071,0,1.0,2.0,,,1,2,1,1.5
Live Heats,147591,290218,Women,Final,3,1902072,0,2.0,3.0,,,2,2,1,1.0
Live Heats,147591,290218,Women,Final,4,1909454,0,,,,,2,2,1,1.0
Live Heats,147591,290219,Junior Boys,Round 1,0,1902065,0,3.0,4.0,,,1,2,1,1.5
Live Heats,147591,290219,Junior Boys,Double Round 2,1,1902066,0,1.0,3.0,2.0,2.0,1,2,1,1.5
Live Heats,147591,290219,Junior Boys,Semifinal,2,1902067,0,1.0,2.0,,,1,2,1,1.5
Live Heats,147591,290219,Junior Boys,Final,3,1902068,0,2.0,3.0,,,2,2,1,1.0
Live Heats,147591,290219,Junior Boys,Final,4,1909453,0,,,,,2,2,1,1.0
Live Heats,147591,290220,Masters,Round 1,0,1902688,0,,2.0,,1.0,3,3,1,1.0
Live Heats,147591,290220,Masters,Round 2,1,1902691,0,2.0,3.0,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Round 3,2,1902693,0,,,,,2,3,1,1.5
Live Heats,147591,290220,Masters,Round 4,3,1902695,0,1.0,9.0,1.0,8.0,1,3,1,2.0
Live Heats,147591,290220,Masters,Round 5,4,1904995,0,,,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Round 6,5,1904996,0,,,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Round 7,6,1904997,0,2.0,3.0,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Round 8,7,1904998,0,,,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Round 9,8,1904999,0,1.0,2.0,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Quarterfinal ,9,1905000,0,,,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Semifinal,10,1909353,0,,,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Final,11,1909356,0,2.0,3.0,,,2,3,1,1.5
Live Heats,147591,290220,Masters,Final,12,1909372,0,,,,,2,3,1,1.5
Live Heats,147591,290220,Masters,Round 1,0,1902689,1,,2.0,,1.0,3,3,2,2.0
Live Heats,147591,290220,Masters,Round 3,2,1902694,1,,,,,2,3,2,2.5
Live Heats,147591,290220,Masters,Round 1,0,1902690,2,,2.0,,1.0,3,3,3,3.0
Live Heats,147592,290222,Men,Round 1,0,2060910,0,2.0,3.0,,,2,2,1,1.0
Live Heats,147592,290222,Men,Final,1,2060916,0,,,,,1,2,1,1.5
Live Heats,147592,290222,Men,Round 1,0,2060911,1,2.0,3.0,,,2,2,2,2.0
Live Heats,147592,290225,Masters,Quarterfinal,0,2060903,0,2.0,3.0,,,2,2,1,1.0
Live Heats,147592,290225,Masters,Final,1,2061000,0,,,,,1,2,1,1.5
Live Heats,147592,290225,Masters,Quarterfinal,0,2060904,1,2.0,3.0,,,2,2,2,2.0
Live Heats,147592,290226,Open AM,Round 1,0,2060886,0,2.0,3.0,,,2,2,1,1.0
Live Heats,147592,290226,Open AM,Final,1,2060892,0,2.0,3.0,,,1,2,1,1.5
Live Heats,147592,290226,Open AM,Round 1,0,2060887,1,2.0,3.0,,,2,2,2,2.0
Live Heats,117331,293776,U17 Boys,Final,0,1883663,0,0.0,1.0,,,1,1,1,1.0
Live Heats,117331,293777,U15 Boys,Final,0,1883662,0,0.0,1.0,,,1,1,1,1.0
Live Heats,72454,310717,Pro Men's Trials ,Semifinal,0,1822128,0,2.0,3.0,,,2,2,1,1.0
Live Heats,72454,310717,Pro Men's Trials ,Semifinal,0,1822129,1,2.0,3.0,,,2,2,2,2.0
Live Heats,164024,315787,Men,Final,0,1832292,0,0.0,1.0,,,1,1,1,1.0
Live Heats,164717,315939,Men,Final,0,1832789,0,0.0,1.0,,,1,1,1,1.0
Live Heats,165509,316791,Men,Final,0,2158214,0,0.0,1.0,,,1,1,1,1.0
Live Heats,165509,316792,Women,Final,0,2158208,0,0.0,1.0,,,1,1,1,1.0
Live Heats,165509,316793,Masters,Final,0,2158213,0,0.0,1.0,,,1,1,1,1.0
Live Heats,172539,327548,Masters,Final,0,1862725,0,0.0,1.0,,,1,1,1,1.0
Live Heats,72455,338059,Pro Men's Double,Round 1,0,1888063,0,,,,,4,4,1,1.0
Live Heats,72455,338059,Pro Men's Double,Round 2,1,1888064,0,,,,,4,4,1,1.0
Live Heats,72455,338059,Pro Men's Double,Round 3,2,1888065,0,,,,,2,4,1,2.0
Live Heats,72455,338059,Pro Men's Double,Round 4,3,1888066,0,,,,,2,4,1,2.0
Live Heats,72455,338059,Pro Men's Double,Round 5,4,1888070,0,,,,,1,4,1,2.5
Live Heats,72455,338059,Pro Men's Double,Round 6,5,1888074,0,,,,,1,4,1,2.5
Live Heats,72455,338059,Pro Men's Double,Round 7,6,1888076,0,,,,,1,4,1,2.5
Live Heats,72455,338059,Pro Men's Double,Round 8,7,1888078,0,,,,,1,4,1,2.5
Live Heats,72455,338059,Pro Men's Double,Quarterfinal,8,1888084,0,,,,,1,4,1,2.5
Live Heats,72455,338059,Pro Men's Double,Semifinal,9,1888085,0,,,,,1,4,1,2.5
Live Heats,72455,338059,Pro Men's Double,Round 1,0,1888067,1,,,,,4,4,2,2.0
Live Heats,72455,338059,Pro Men's Double,Round 2,1,1888071,1,,,,,4,4,2,2.0
Live Heats,72455,338059,Pro Men's Double,Round 3,2,1888075,1,,,,,2,4,2,3.0
Live Heats,72455,338059,Pro Men's Double,Round 4,3,1888077,1,,,,,2,4,2,3.0
Live Heats,72455,338059,Pro Men's Double,Round 1,0,1888068,2,,,,,4,4,3,3.0
Live Heats,72455,338059,Pro Men's Double,Round 2,1,1888072,2,,,,,4,4,3,3.0
Live Heats,72455,338059,Pro Men's Double,Round 1,0,1888069,3,,,,,4,4,4,4.0
Live Heats,72455,338059,Pro Men's Double,Round 2,1,1888073,3,,,,,4,4,4,4.0
Live Heats,72455,338060,Pro Women's Double,Round 1,0,1891326,0,,,,,2,2,1,1.0
Live Heats,72455,338060,Pro Women's Double,Round 2,1,1891336,0,,,,,2,2,1,1.0
Live Heats,72455,338060,Pro Women's Double,Round 3,2,1891341,0,,,,,1,2,1,1.5
Live Heats,72455,338060,Pro Women's Double,Round 4,3,1891344,0,,,,,1,2,1,1.5
Live Heats,72455,338060,Pro Women's Double,Round 5,4,1891346,0,,,,,1,2,1,1.5
Live Heats,72455,338060,Pro Women's Double,Round 6,5,1891359,0,,,,,1,2,1,1.5
Live Heats,72455,338060,Pro Women's Double,Quarterfinal,6,1891360,0,,,,,1,2,1,1.5
Live Heats,72455,338060,Pro Women's Double,Semifinal,7,1891361,0,,,,,1,2,1,1.5
Live Heats,72455,338060,Pro Women's Double,Round 1,0,1891327,1,,,,,2,2,2,2.0
Live Heats,72455,338060,Pro Women's Double,Round 2,1,1891337,1,,,,,2,2,2,2.0
Live Heats,72455,338128,Masters Single,Quarterfinal,0,1888130,0,2.0,3.0,,,4,4,1,1.0
Live Heats,72455,338128,Masters Single,Semifinal,1,1888134,0,2.0,3.0,,,1,4,1,2.5
Live Heats,72455,338128,Masters Single,Quarterfinal,0,1888131,1,2.0,3.0,,,4,4,2,2.0
Live Heats,72455,338128,Masters Single,Quarterfinal,0,1888132,2,2.0,3.0,,,4,4,3,3.0
Live Heats,72455,338128,Masters Single,Quarterfinal,0,1888133,3,2.0,3.0,,,4,4,4,4.0
Live Heats,181652,343314,Men,Final,0,1897591,0,0.0,1.0,,,1,1,1,1.0
Live Heats,181652,343315,Women,Final,0,1897673,0,,,,,1,1,1,1.0
Live Heats,187553,353243,Men,Final,0,2300199,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187554,353247,Women,Final,0,2061243,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187554,353248,Men,Final,0,2645520,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187554,353249,Masters,Final,0,2061247,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187554,353250,Junior Girls,Final,0,2061245,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187554,353251,Junior Boys,Final,0,2061246,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187555,353252,Women,Final,0,2083452,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187555,353253,Men,Final,0,2085518,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187556,353257,Women,Final,0,2083339,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187556,353258,Men,Final,0,2083340,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187556,353259,Masters,Final,0,2083344,0,0.0,1.0,,,1,1,1,1.0
