section,event_id,ladder_url,event_href,event_date,id,event_name,year,elimination_names,final_rank,category_codes
Completed events,352,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=352,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=352&cHash=eccac0defec85fa0af8cedfd0360818d,Feb 19 - Feb 25,2310,2024 SPICARE Omaezaki Japan World Cup *****,2024,,"{'Wave Men': '952', 'Wave Women': '953'}",
Completed events,354,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=354,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=354&cHash=c699daf2e0f9893207d21a7a6b9b9463,Apr 01 - Apr 12,2310,"2024 Topocalma, Chile World Cup *****",2024,,"{'Wave Men': '954', 'Wave Women': '955'}",
Completed events,357,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=357,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=357&cHash=c9720a68c542213e603b7dd18e1a98cf,Jun 29 - Jul 07,2310,2024 Gran Canaria GLORIA PWA Windsurfing Grand Slam ******,2024,"['Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination', 'Womens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Women Wave elimination double elimination', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 10', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 11', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 9', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 10', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 8', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 9', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 7', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 8', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 6', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 7', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 5', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 6', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 8', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 4', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 5', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 4', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 3', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 3', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 2', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 2', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 1', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 1', 'Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination', 'Womens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Women Wave elimination']","{'Wave Men': '960', 'Wave Women': '961'}","['857', '876', '882', '881', '880', '879', '878', '877', '875', '874', '873', '872', '870', '869', '871', '867', '868', '866', '865', '864', '863', '862', '859', '861', '855', '856']"
Completed events,360,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=360,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=360&cHash=3b3340f7a7911ea305499dcb87992fea,Aug 04 - Aug 17,2310,"2024 Pacasmayo, Peru World Cup ****",2024,,"{'Wave Men': '970', 'Wave Women': '971'}",
Completed events,358,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=358,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=358&cHash=810d8779bf78e5fb75817e83f998b70b,Aug 05 - Aug 11,2310,2024 Tenerife PWA World Cup ****,2024,"['Mens 2024 Tenerife PWA World Cup ***** Mens Wave elimination double elimination', 'Womens 2024 Tenerife PWA World Cup ***** Women Wave elimination double elimination', 'Mens 2024 Tenerife PWA World Cup ***** Mens Wave elimination', 'Womens 2024 Tenerife PWA World Cup ***** Women Wave elimination']","{'Wave Men': '964', 'Wave Women': '965'}","['926', '927', '924', '925']"
Completed events,362,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=362,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=362&cHash=d9dc0f8f32b5b94dc614c85ead64dbcd,Sep 16 - Sep 25,2310,2024 Cold Hawaii PWA Youth World Cup,2024,,"{'Wave Men': '974', 'Wave Women': '975'}",
Completed events,363,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=363,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=363&cHash=bf5225169ae75b8279dac2e81dc7def1,Sep 27 - Oct 06,2310,2024 CitroÃ«n PWA Windsurf World Cup Sylt *******,2024,"['2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 13', '2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Foil Elimination 7', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 12', 'Mens 2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Freestyle elimination 1', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 11', '2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Foil Elimination 6', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 10', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 9', '2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Foil Elimination 5', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 8', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 7', '2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Foil Elimination 4', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 6', '2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Foil Elimination 3', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 5', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 4', '2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Foil Elimination 2', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 3', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 2', '2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Foil Elimination 1', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 1', 'Mens 2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Wave elimination', 'Womens 2024 Citroen PWA Windsurf World Cup Sylt ******* Women Wave elimination', 'Mens 2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Wave elimination double elimination']","{'Wave Men': '978', 'Wave Women': '979'}","['951', '949', '950', '930', '948', '946', '947', '945', '943', '944', '942', '941', '940', '938', '939', '937', '934', '936', '935', '932', '933', '929', '928', '931']"
Completed events,365,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=365,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=365&cHash=2e4d08766a81a74b1bc18c805eb1cfbb,Oct 21 - Nov 01,2310,2024 Aloha Classic *****,2024,,"{'Wave Men': '986', 'Wave Women': '987'}",
Completed events,345,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=345,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=345&cHash=533562889bb958162fb6f30ef8f96517,Mar 16 - Mar 21,2284,2023 Omaezaki Japan World Cup *****,2023,,"{'Wave Men': '938', 'Wave Women': '939'}",
Completed events,346,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=346,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=346&cHash=161692f16db06a26118751ffc60fd121,Mar 25 - Apr 02,2284,"2023 Topocalma, Chile World Cup ****",2023,,"{'Wave Men': '940', 'Wave Women': '941'}",
Completed events,349,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=349,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=349&cHash=1f3b9b9e515dba02da2bba9ea02c345e,Jun 01 - Jun 11,2284,"2023 Cloudbreak, Fiji World Cup *****",2023,,"{'Wave Men': '942', 'Wave Women': '943'}",
Completed events,338,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=338,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=338&cHash=b9ace970f382423c0fca8363194b4212,Jul 01 - Jul 09,2284,2023 Gran Canaria PWA Windsurfing Grand Slam ******,2023,"['Womens 2023 Gran Canaria PWA Windsurfing Grand Slam ****** Women Wave elimination double elimination', 'Womens 2023 Gran Canaria PWA Windsurfing Grand Slam ****** Women Wave elimination', 'Mens 2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 10', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 15', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 9', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 14', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 13', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 12', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 8', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 11', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 7', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 6', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 10', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 9', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 5', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 8', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 7', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 4', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 6', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 3', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 5', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 4', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 2', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 3', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 2', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 1', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 1', 'Mens 2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination']","{'Wave Men': '918', 'Wave Women': '919'}","['762', '758', '759', '785', '786', '782', '784', '783', '781', '780', '777', '778', '774', '776', '775', '772', '773', '771', '770', '769', '766', '768', '767', '764', '765', '763', '760', '761', '755']"
Completed events,347,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=347,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=347&cHash=49e6a9eba85c921cc042da2a8a46256a,Aug 26 - Sep 03,2284,"2023 Pacasmayo, Peru World Cup ****",2023,,"{'Wave Men': '944', 'Wave Women': '945'}",
Completed events,342,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=342,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=342&cHash=a084d014e91db5fb85fbd4d88f159868,Sep 22 - Oct 01,2284,"schauinslandreisen Windsurf World Cup Sylt, presented by got2b *******",2023,"['Mens Mens Wave elimination', 'Womens Women Wave elimination double elimination', 'Womens Women Wave elimination', '2023 Windsurf World Cup Sylt ******* Mens Slalom Elimination 8', '2023 Windsurf World Cup Sylt ******* Mens Slalom Elimination 7', '2023 Windsurf World Cup Sylt ******* Mens Slalom Elimination 6', '2023 Windsurf World Cup Sylt ******* Mens Slalom Elimination 5', '2023 Windsurf World Cup Sylt ******* Mens Slalom Elimination 4', 'Mens Mens Freestyle elimination (double)', 'Mens Mens Freestyle elimination', '2023 Windsurf World Cup Sylt ******* Mens Slalom Elimination 3', '2023 Windsurf World Cup Sylt ******* Mens Slalom Elimination 2', 'Mens Slalom Elimination 1']","{'Wave Men': '928', 'Wave Women': '929'}","['826', '835', '825', '834', '833', '832', '831', '829', '830', '824', '828', '827', '823']"
Completed events,351,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=351,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=351&cHash=99ab6a2d575699263ecf657b90801817,Oct 14 - Oct 20,2284,2023 Cold Hawaii PWA Youth World Cup Final,2023,,"{'Wave Men': '950', 'Wave Women': '951'}",
Completed events,348,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=348,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=348&cHash=36ce8c16a928cc5322fc34f415c27bb2,Oct 23 - Nov 03,2284,2023 MAUI STRONG Aloha Classic Grand Final *****,2023,,"{'Wave Men': '946', 'Wave Women': '947'}",
